,Date,Stock,StockChange,SentimentValue,SentimentChange
291,6/19/2019,363.519989,6.399993896,0.220166667,0.067935556
292,6/20/2019,365.2099915,1.690002441,0.237332222,0.017165555
293,6/21/2019,369.2099915,4,0.222313333,-0.015018889
294,6/22/2019,370.125,0.915008545,0.202817778,-0.019495555
295,6/23/2019,370.5825043,0.457504272,0.338248889,0.135431111
296,6/24/2019,371.0400085,0.457504272,0.326728889,-0.01152
297,6/25/2019,360.2999878,-10.74002075,0.288998889,-0.03773
298,6/26/2019,362.2000122,1.900024414,0.204113333,-0.084885556
299,6/27/2019,370.019989,7.819976807,0.252044444,0.047931111
300,6/28/2019,367.3200073,-2.699981689,0.220818889,-0.031225555
301,6/29/2019,370.9600067,3.63999939,0.277633333,0.056814444
302,6/30/2019,372.7800064,1.819999695,0.293441111,0.015807778
303,7/1/2019,374.6000061,1.819999695,0.250728889,-0.042712222
304,7/2/2019,375.4299927,0.829986572,-0.093787778,-0.344516667
305,7/3/2019,381.7200012,6.290008545,0.18896,0.282747778
306,7/4/2019,381.1349945,-0.585006714,0.178265556,-0.010694444
307,7/5/2019,380.5499878,-0.585006714,0.328926667,0.150661111
308,7/6/2019,378.3549957,-2.194992065,0.258754444,-0.070172223
309,7/7/2019,377.2574997,-1.097496033,0.321814444,0.06306
310,7/8/2019,376.1600037,-1.097496033,0.21669,-0.105124444
311,7/9/2019,379.9299927,3.769989014,0.25309,0.0364
312,7/10/2019,381,1.070007324,0.310435556,0.057345556
313,7/11/2019,379.5,-1.5,0.32294,0.012504444
314,7/12/2019,373.25,-6.25,0.417336667,0.094396667
315,7/13/2019,369.9250031,-3.324996948,0.359208889,-0.058127778
316,7/14/2019,368.2625046,-1.662498474,0.235981111,-0.123227778
317,7/15/2019,366.6000061,-1.662498474,0.258516667,0.022535556
318,7/16/2019,365.9899902,-0.610015869,0.344405556,0.085888889
319,7/17/2019,362.4400024,-3.549987793,0.201288889,-0.143116667
320,7/18/2019,325.2099915,-37.23001099,0.291717778,0.090428889
321,7/19/2019,315.1000061,-10.10998535,0.230316667,-0.061401111
322,7/20/2019,312.8600006,-2.240005493,0.148781111,-0.081535556
323,7/21/2019,311.7399979,-1.120002747,0.217231111,0.06845
324,7/22/2019,310.6199951,-1.120002747,0.29434,0.077108889
325,7/23/2019,307.2999878,-3.320007324,0.338272222,0.043932222
326,7/24/2019,317.9400024,10.64001465,0.31829,-0.019982222
327,7/25/2019,326.4599915,8.519989014,0.2735,-0.04479
328,7/26/2019,335.7799988,9.320007324,0.26352,-0.00998
329,7/27/2019,334.2400055,-1.539993286,0.268106667,0.004586667
330,7/28/2019,333.4700089,-0.769996643,0.245356667,-0.02275
331,7/29/2019,332.7000122,-0.769996643,0.19903,-0.046326667
332,7/30/2019,325.9299927,-6.770019531,0.297058889,0.098028889
333,7/31/2019,322.9899902,-2.940002441,0.432831111,0.135772222
334,8/1/2019,319.5,-3.489990234,0.224252222,-0.208578889
335,8/2/2019,318.8299866,-0.670013428,0.267691111,0.043438889
336,8/3/2019,313.2299957,-5.599990845,0.253874444,-0.013816667
337,8/4/2019,310.4300003,-2.799995422,0.270764444,0.01689
338,8/5/2019,307.6300049,-2.799995422,0.168112222,-0.102652222
339,8/6/2019,310.1000061,2.470001221,0.337465556,0.169353334
340,8/7/2019,304.2900085,-5.809997559,0.158484444,-0.178981112
341,8/8/2019,315.8999939,11.60998535,0.240132222,0.081647778
342,8/9/2019,308.9299927,-6.970001221,0.325586667,0.085454445
343,8/10/2019,309.8799896,0.949996948,0.307722222,-0.017864445
344,8/11/2019,310.3549881,0.474998474,0.259413333,-0.048308889
345,8/12/2019,310.8299866,0.474998474,0.32369,0.064276667
346,8/13/2019,312.2799988,1.450012207,0.300952222,-0.022737778
347,8/14/2019,299.1099854,-13.17001343,0.148477778,-0.152474444
348,8/15/2019,295.7600098,-3.349975586,0.335451111,0.186973333
349,8/16/2019,302.7999878,7.039978027,0.32803,-0.007421111
350,8/17/2019,306.0899963,3.290008545,0.255993333,-0.072036667
351,8/18/2019,307.7350006,1.645004272,0.381666667,0.125673334
352,8/19/2019,309.3800049,1.645004272,0.27907,-0.102596667
353,8/20/2019,298.9899902,-10.39001465,0.331716667,0.052646667
354,8/21/2019,297.8099976,-1.179992676,0.248955556,-0.082761111
355,8/22/2019,296.9299927,-0.880004883,0.264402222,0.015446666
